,laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Memory_Type
1043,1057,1086.3844444444444,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,2.3,1049.6,1388.7893357058124
1044,1058,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,1.54,1000.0,655.29776
1045,1059,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.84,2103.34,1388.7893357058124
1046,1060,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.43,1469.0,1388.7893357058124
1047,1061,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,3.78,1545.64,1388.7893357058124
1048,1062,1086.3844444444444,1731.3806341463417,17.3,1595.7791081593928,16,128,1651.3279574468086,1168.1394776119403,4.6,2289.99,1388.7893357058124
1049,1063,1104.1693670886077,636.232,11.6,312.236375,4,16,969.882738654147,553.5851851851852,1.2,287.9,527.6082666666667
1050,1064,1086.3844444444444,782.0786244841817,14.0,1595.7791081593928,16,256,969.882738654147,1686.6513333333332,1.1,2620.0,1388.7893357058124
1051,1065,1067.7748540145985,782.0786244841817,15.6,1595.7791081593928,8,1024,935.683023255814,1168.1394776119403,1.91,979.0,655.29776
1052,1066,1186.06898989899,1282.401652892562,15.6,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,2.3,1094.0,1388.7893357058124
1053,1067,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,2.04,979.0,1388.7893357058124
1054,1068,1186.06898989899,1548.2303571428572,13.3,1595.7791081593928,16,1024,969.882738654147,1168.1394776119403,1.2,2254.0,1388.7893357058124
1055,1069,1067.7748540145985,782.0786244841817,15.6,541.625955882353,4,500,969.882738654147,1168.1394776119403,2.31,705.15,655.29776
1056,1070,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,587.9733333333334,1.96,499.0,655.29776
1057,1071,626.7758252427184,782.0786244841817,15.6,448.5,8,1024,588.5527777777778,1168.1394776119403,2.4,449.0,655.29776
1058,1072,1186.06898989899,1282.401652892562,13.3,1595.7791081593928,12,256,969.882738654147,1168.1394776119403,1.6,1299.0,1388.7893357058124
1059,1073,1728.908148148148,1731.3806341463417,15.6,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,2.94,1819.0,1388.7893357058124
1060,1074,1067.7748540145985,782.0786244841817,15.6,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,2.04,1070.0,1388.7893357058124
1061,1075,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,16,1024,1651.3279574468086,587.9733333333334,4.0,998.0,655.29776
1062,1076,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,4,1024,969.882738654147,1168.1394776119403,2.25,559.0,655.29776
1063,1077,1186.06898989899,782.0786244841817,15.6,1595.7791081593928,16,2048,796.1311538461539,1168.1394776119403,2.32,989.99,655.29776
